Countries and territories,Place,Start date,End date,Level
Albania,,13-03-20,,National
Algeria,Algiers,23-03-20,19-04-20,City
,Blida,,,
Argentina,,19-03-20,10-05-20,National
Armenia,,24-03-20,14-04-20,National
Australia,,23-03-20,,National
Austria,,16-03-20,13-04-20,National
Azerbaijan,,31-03-20,20-04-20,National
Bangladesh,,26-03-20,25-04-20,National
Barbados,,28-03-20,03-05-20,National
Belarus,Minsk,07-04-20,,City
Belgium,,18-03-20,19-04-20,National
Bermuda,,04-04-20,02-05-20,National
Bolivia,,22-03-20,15-04-20,National
Botswana,,02-04-20,30-04-20,National
Brazil,Santa Catarina,17-03-20,07-04-20,State
Chile,,19-03-20,,National
Colombia,,25-03-20,27-04-20,National
Republic of the Congo,,31-03-20,20-04-20,National
Costa Rica,,23-03-20,,National
Croatia,,18-03-20,19-04-20,National
Cuba,,23-03-20,20-04-20,National
Czech Republic,,16-03-20,12-04-20,National
Denmark,,11-03-20,13-04-20,National
Dominican Republic,,19-03-20,,National
Ecuador,,16-03-20,31-03-20,National
El Salvador,,12-03-20,02-04-20,National
Eritrea,,02-04-20,23-04-20,National
Fiji,Lautoka,20-03-20,07-04-20,City
Finland,Uusimaa,27-03-20,16-04-20,Region
France,,17-03-20,11-05-20,National
Georgia,,31-03-20,21-04-20,National
Germany,,23-03-20,03-05-20,National
Ghana,Accra,30-03-20,12-04-20,Metropolitan Area
Greece,,23-03-20,27-04-20,National
Guernsey,,25-03-20,,National
Honduras,,20-03-20,26-04-20,National
Hungary,,28-03-20,10-04-20,National
India,,25-03-20,03-05-20,National
Indonesia,Jakarta,10-04-20,22-05-20,Province
Iraq,,22-03-20,11-04-20,National
Ireland,,12-03-20,05-05-20,National
Israel,Bnei Brak,02-04-20,,City
Italy,,09-03-20,03-05-20,National
Jamaica,Saint Catherine,15-04-20,22-04-20,Parish
Japan,Chiba,07-04-20,06-05-20,Prefecture
Jordan,,18-03-20,,National
Kosovo,,14-03-20,04-05-20,National
Kuwait,,14-03-20,29-03-20,National
Lebanon,,15-03-20,28-03-20,National
Liberia,Margibi,23-03-20,11-04-20,County
,Montserrado,,,
Libya,,22-03-20,,National
Lithuania,,16-03-20,27-04-20,National
Luxembourg,,18-03-20,,National
Madagascar,Antananarivo,23-03-20,,City
,Toamasina ,,,
Malaysia,,18-03-20,12-05-20,National
Montenegro,Tuzi,24-03-20,,Municipality
Morocco,,19-03-20,20-04-20,National
Nepal,,24-03-20,15-04-20,National
Netherlands,,16-03-20,28-04-20,National
New Zealand,,26-03-20,10-05-20,National
Nigeria,Abuja,30-03-20,12-04-20,City
,Lagos,,,
,Ogun,,,State
Northern Cyprus,,30-03-20,,National
Norway,,12-03-20,13-04-20,National
Oman,Muscat,10-04-20,08-05-20,Governorate
,Jalan Bani Bu Ali,16-04-20,,Province
Pakistan,,24-03-20,09-05-20,National
Panama,,25-03-20,07-04-20,National
Papua New Guinea,,24-03-20,07-04-20,National
Paraguay,,20-03-20,12-04-20,National
Peru,,16-03-20,26-04-20,National
Philippines,Cebu,27-03-20,15-05-20,Province
,Davao Region,19-03-20,15-05-20,Region
,Luzon,15-03-20,30-04-20,Island group
,,,15-05-20,
,Soccsksargen,23-03-20,,Region
Poland,,13-03-20,11-04-20,National
Portugal,,19-03-20,02-04-20,National
Qatar,Doha Industrial Area,11-03-20,,Industrial park
Romania,,25-03-20,12-05-20,National
Russia,Moscow,30-03-20,01-05-20,Metropolitan area
Rwanda,,21-03-20,19-04-20,National
Samoa,,26-03-20,08-04-20,National
San Marino,,14-03-20,,National
Saudi Arabia,Jeddah,29-03-20,,City
,Mecca,26-03-20,,
,Medina,,,
,Qatif,09-03-20,,Area
,Riyadh,26-03-20,,City
Serbia,,15-03-20,,National
Singapore,,07-04-20,01-06-20,National
Slovakia,,16-03-20,22-04-20,National
South Africa,,26-03-20,30-04-20,National
Spain,,14-03-20,09-05-20,National
Switzerland,,17-03-20,,National
Thailand,,25-03-20,30-04-20,National
Trinidad and Tobago,,17-03-20,31-03-20,National
Tunisia,,22-03-20,19-04-20,National
Turkey,,23-04-20,27-04-20,National
Ukraine,,17-03-20,24-04-20,National
United Arab Emirates,,26-03-20,17-04-20,National
United Kingdom,,23-03-20,,National
United States,California,19-03-20,15-05-20,State
,"Clark County, NV",20-03-20,,County
,Connecticut,23-03-20,22-04-20,State
,Illinois,21-03-20,30-05-20,
,"Kansas City, KS",24-03-20,19-04-20,City
,Massachusetts,24-03-20,04-05-20,State
,Michigan,24-03-20,13-04-20,
,New York,20-03-20,15-05-20,
,Oregon,24-03-20,,
,Wisconsin,24-03-20,,
Venezuela,,17-03-20,,National
Zimbabwe,,30-03-20,02-05-20,National
